entropy_1,entropy_2,entropy_3,session_num,elapse_minute_rounded,half
1.560378870786324,1.0407878916691775,1.1972904681202148,54.0,0,0.0
1.5736437561731351,1.2078364312096963,1.3945258759980423,54.0,0,0.0
1.5867626407111965,1.4023961986504387,1.5678543397295086,54.0,0,0.0
1.6164288046379331,1.5491952234601154,1.5398581993306486,54.0,0,0.0
1.6923983883286273,1.5194618305025198,1.4714528564519758,54.0,1,0.0
1.7042485860618808,1.7031015545791934,1.4994639629566864,54.0,1,0.0
1.7310711256348612,1.6866329279456331,1.4861257525479608,54.0,2,0.0
1.742522710306722,1.83626067140227,1.4901116135873727,54.0,2,0.0
1.768450716251978,1.9175968800004273,1.6691207812109816,54.0,2,0.0
1.7795236303315927,1.9176820931145808,1.671874046598648,54.0,2,0.0
1.8046013870163637,1.8874044531893053,1.6332892505758034,54.0,2,0.0
1.8291109086182213,1.8836903893081751,1.6441912430913357,54.0,3,0.0
1.866256044947062,1.8661646825783165,1.7315847972505662,54.0,3,0.0
1.8893957776738268,1.8634487604738292,1.7353024352111992,54.0,3,0.0
1.8992870348599373,1.8733180645350074,1.7388706655740829,54.0,4,0.0
1.9090845471994506,1.873694372195844,1.7391538302927856,54.0,4,0.0
1.9312952786660962,1.8504451897995378,1.7403920170818055,54.0,4,0.0
1.9530314273927407,1.905814999941816,1.7432432899010997,54.0,4,0.0
1.9623271000919533,1.9058933204847204,1.7434623885998612,54.0,4,0.0
1.9715372562512377,1.905958372714473,1.7445248377210492,54.0,4,1.0
2.026549556232774,1.9005651810465625,1.7764664312343612,54.0,5,1.0
2.0351791269273036,1.9023627318574103,1.756642099732155,54.0,5,1.0
2.043732040037346,1.9369388352060366,1.7676733270845713,54.0,6,1.0
2.0522092918603776,1.9373668685117549,1.7681055621601498,54.0,6,1.0
2.0606118610446615,1.9377716686096216,1.7699390896881222,54.0,6,1.0
2.090193430896897,1.9418034974016052,1.7572125369427123,54.0,6,1.0
2.0982651387109676,1.9418920723136166,1.7576868966874915,54.0,6,1.0
2.1266923844688153,1.9270078530870764,1.781681578575934,54.0,7,1.0
2.134451951502873,1.888100884961567,1.7877687527019495,54.0,7,1.0
2.142145886275438,1.9436425356693114,1.788921196077965,54.0,7,1.0
2.1497749953896594,1.9435017541309403,1.7894701753723687,54.0,7,1.0
2.1573400720604305,1.9429576818114749,1.7836009809436395,54.0,7,1.0
2.220918660545112,1.9542719234918213,1.76491517844073,54.0,8,1.0
2.2278984222185434,1.9543804668943656,1.7428150520863972,54.0,9,1.0
2.2348219054685776,1.9561250961180923,1.7427573773267393,54.0,9,1.0
2.2416897658417616,1.8919094850126046,1.744147329015013,54.0,9,1.0
2.2485026486477575,1.9564833116662488,1.7455199687264122,54.0,9,1.0
2.2552611891647447,1.9719070547462891,1.7945805746104329,54.0,9,1.0
2.2706203821158515,1.9723866211701742,1.6993107941682375,54.0,9,1.0
2.277203841664271,1.9724524606206997,1.7121507253549266,54.0,9,1.0
2.316708341339009,1.9791989596211452,1.8009393313109425,54.0,10,1.0
2.3309712150838258,1.9740003380012745,1.8105683055702715,54.0,11,1.0
2.3679831855214317,1.932722629332502,1.8278399034712762,54.0,11,1.0
2.388749119582966,1.9380158241099146,1.6430466693233268,54.0,12,1.0
2.4017721768705678,1.9549668366373476,1.8202491605293243,54.0,12,1.0
2.414576348309566,1.9457652870121955,1.8213651129872575,54.0,12,1.0
2.4200701772966355,1.9720114953936745,1.8242100276503053,54.0,12,1.0
2.4325695156300884,1.959152985048699,1.8262536123516557,54.0,13,1.0
2.43793322618066,1.959942799204752,1.6522039820453382,54.0,13,1.0
2.4432584100246784,1.958476722841671,1.6617387439579716,54.0,13,1.0
2.448545462601559,1.9914155431725047,1.6611512178482095,54.0,13,1.0
2.45379477398072,1.9918415514222803,1.6605591033567466,54.0,13,1.0
2.4590067289537383,1.992716203756633,1.6159588559206246,54.0,13,1.0
2.490365897253141,1.9863851193105648,1.660051186780174,54.0,14,1.0
2.4953207882374437,1.986535170187963,1.6597577662574294,54.0,14,1.0
2.512837980121874,1.9982288351847213,1.7260499560921752,54.0,15,1.0
2.535959575105605,1.9791740921512806,1.7814469673127542,54.0,15,1.0
2.5406018102477823,1.9757912691341277,1.7815894328037345,54.0,16,1.0
2.551172476060666,1.7982481184908021,1.6513657074944228,54.0,16,1.0
2.561580581800451,1.8268982969219096,1.6385399634832885,54.0,16,1.0
2.5775009834140277,1.80409574992031,1.5854674669531015,54.0,17,1.0
2.587508832189938,1.9895855697980112,1.6157305920435623,54.0,17,1.0
2.6135969691527903,1.9796009531080243,1.6929760297764536,54.0,18,1.0
2.6283090403843947,1.999436953169269,1.6685619425394567,54.0,18,1.0
2.6323447176935875,1.996924988602688,1.6680139313124036,54.0,18,1.0
2.6363547076568565,1.9970474657495916,1.6678889360740647,54.0,18,1.0
2.640339241961093,1.9971660901323744,1.6859581701349662,54.0,18,1.0
2.649418608344128,1.8220403524502675,1.7624987024555732,54.0,19,1.0
2.6633217990667144,1.8036664281143615,1.7527166695319354,54.0,19,1.0
2.67207105824578,1.7919498431146037,1.750642712771727,54.0,20,1.0
