entropy_1,entropy_2,entropy_3,session_num,elapse_minute_rounded,half
0.0,0.0,0.0,50.0,0,0.0
0.0,0.0,0.0,50.0,0,0.0
0.0,0.0,0.0,50.0,0,0.0
0.0,0.0,0.0,50.0,0,0.0
0.0,0.0,0.0,50.0,0,0.0
0.0,0.0,0.0,50.0,0,0.0
0.0,0.0,0.0,50.0,1,0.0
0.0,0.0,0.0,50.0,1,0.0
0.0,0.0,0.0,50.0,1,0.0
0.0,0.0,0.0,50.0,1,0.0
0.0,0.0,0.0,50.0,1,0.0
0.0,0.0,0.0,50.0,1,0.0
0.0,0.0,0.0,50.0,1,0.0
0.0,0.0,0.0,50.0,1,0.0
0.0,0.0,0.0,50.0,2,1.0
0.0,0.0,0.0,50.0,11,1.0
0.0,0.0,0.0,50.0,11,1.0
0.0,0.0,0.0,50.0,11,1.0
0.0,0.0,0.0,50.0,11,1.0
0.0,0.0,0.0,50.0,11,1.0
0.0,0.0,0.0,50.0,11,1.0
0.0,0.0,0.0,50.0,11,1.0
0.0,0.0,0.0,50.0,12,1.0
0.0,0.0,0.0,50.0,12,1.0
0.0,0.0,0.0,50.0,12,1.0
0.0,0.0,0.0,50.0,12,1.0
0.0,0.0,0.0,50.0,12,1.0
0.0,0.0,0.0,50.0,12,1.0
0.0,0.0,0.0,50.0,13,1.0
0.0,0.0,0.0,50.0,13,1.0
0.0,0.0,0.0,50.0,13,1.0
0.0,0.0,0.0,50.0,13,1.0
0.0,0.0,0.0,50.0,13,1.0
0.0,0.0,0.0,50.0,13,1.0
0.0,0.0,0.0,50.0,13,1.0
0.0,0.0,0.0,50.0,13,1.0
0.0,0.0,0.0,50.0,14,1.0
0.0,0.0,0.0,50.0,14,1.0
0.0,0.0,0.0,50.0,14,1.0
0.0,0.0,0.0,50.0,14,1.0
0.0,0.0,0.0,50.0,14,1.0
0.0,0.0,0.0,50.0,15,1.0
0.0,0.0,0.0,50.0,15,1.0
0.0,0.0,0.0,50.0,15,1.0
0.0,0.0,0.0,50.0,15,1.0
0.0,0.0,0.0,50.0,15,1.0
0.0,0.0,0.0,50.0,15,1.0
0.0,0.0,0.0,50.0,16,1.0
0.0,0.0,0.0,50.0,16,1.0
0.0,0.0,0.0,50.0,16,1.0
0.0,0.0,0.0,50.0,16,1.0
0.0,0.0,0.0,50.0,16,1.0
0.0,0.0,0.0,50.0,17,1.0
0.0,0.0,0.0,50.0,17,1.0
0.0,0.0,0.0,50.0,17,1.0
0.0,0.0,0.0,50.0,17,1.0
0.0,0.0,0.0,50.0,17,1.0
0.0,0.0,0.0,50.0,17,1.0
0.0,0.0,0.0,50.0,17,1.0
0.0,0.0,0.0,50.0,18,1.0
0.0,0.0,0.0,50.0,18,1.0
0.0,0.0,0.0,50.0,18,1.0
0.0,0.0,0.0,50.0,18,1.0
0.0,0.0,0.0,50.0,18,1.0
0.0,0.0,0.0,50.0,18,1.0
0.0,0.0,0.0,50.0,19,1.0
0.0,0.0,0.0,50.0,19,1.0
0.0,0.0,0.0,50.0,19,1.0
0.0,0.0,0.0,50.0,19,1.0
0.0,0.0,0.0,50.0,20,1.0
