entropy_1,entropy_2,entropy_3,session_num,elapse_minute_rounded,half
169.71266917679392,7.087627425490705,8.800800019807582,66.0,0,0.0
178.92937942565254,8.089968646032801,8.741814250524737,66.0,0,0.0
171.27848968062978,8.361365781681295,9.227226865170728,66.0,0,0.0
164.68439799104925,8.311492691891042,9.571283085247384,66.0,0,0.0
131.33437917678998,5.732645069796319,9.132404585734065,66.0,1,0.0
131.42594401642975,5.178900707781844,9.240698012624804,66.0,1,0.0
141.5459983977964,5.4200006988218234,9.229711326370063,66.0,2,0.0
144.6509801843989,5.299594089229661,9.22286140000529,66.0,2,0.0
141.75000435607063,5.218231047216851,9.216878077573456,66.0,2,0.0
137.43353479712206,4.554139557941555,8.969970715326916,66.0,3,0.0
133.92209645034782,4.368931937744634,8.941853981566386,66.0,3,0.0
132.23656461789034,4.309524264400201,8.938443444850467,66.0,3,0.0
130.69708667657352,4.259106471547561,8.936656383915064,66.0,3,0.0
129.64448118964154,4.147317836478791,8.933744990471197,66.0,3,0.0
127.0675879849005,4.112267508845919,8.931051418507645,66.0,4,0.0
128.96365051104428,4.051813385897559,8.850370488493,66.0,4,0.0
126.76254387276347,4.002757022133865,8.831257028093276,66.0,4,1.0
125.1559046701007,3.8043293013645787,8.681368848674017,66.0,5,1.0
122.36592669987166,3.7613249127230444,8.6457656329874,66.0,5,1.0
121.48164081575175,3.723547632248971,8.64233806575514,66.0,5,1.0
119.2804963921108,3.699943803686945,8.641416699454751,66.0,5,1.0
120.25582255517502,3.6667080149234472,8.640565149770506,66.0,5,1.0
119.91816431819552,3.6469850768955796,8.639783306619304,66.0,6,1.0
119.47054441337231,3.6012885006675037,8.632861184596788,66.0,6,1.0
118.51539498113952,3.3560545382828284,8.563767709087344,66.0,8,1.0
118.09834091488693,3.317044236729999,8.573494610590782,66.0,8,1.0
117.65123702452667,3.2503699973118447,8.567127144389318,66.0,8,1.0
117.21770982721566,3.217860573955373,8.59216012117117,66.0,8,1.0
116.46398322738924,3.1503711912909877,8.586804509955043,66.0,9,1.0
116.14083974296311,3.116480031983324,8.583776943683239,66.0,9,1.0
116.04562275702382,3.1111092484985843,8.583726693502012,66.0,9,1.0
115.7740151150157,3.1120527716895134,8.582134397394224,66.0,10,1.0
115.68638106282401,3.09276225900829,8.582181573987906,66.0,10,1.0
115.52666203999546,3.0802452111654506,8.582174474502537,66.0,10,1.0
115.4368921285272,3.060343631023525,8.582177842114376,66.0,10,1.0
115.34375890472643,3.0451825450871874,8.582186864585697,66.0,10,1.0
115.19855572338933,3.0364472130832247,8.582203992822313,66.0,10,1.0
115.09234180218961,3.0267899190912084,8.582229991076554,66.0,11,1.0
114.95168949105312,3.011170684365581,8.582260981410599,66.0,11,1.0
114.85942380105222,3.011855585170764,8.58229992097625,66.0,11,1.0
114.70671812722937,2.9922327702398412,8.584006023432519,66.0,11,1.0
114.61171900137414,2.9773863238473988,8.58409543420265,66.0,11,1.0
114.5168466865572,2.977960381820752,8.584143880784474,66.0,11,1.0
114.4220386033085,2.9679608705414475,8.584283905898854,66.0,11,1.0
114.18907614576524,2.9619499474325623,8.584342216852786,66.0,11,1.0
114.09467879333303,2.9518911826071603,8.58440591343638,66.0,12,1.0
114.00880942746095,2.9360199547529913,8.584516012610006,66.0,12,1.0
113.91646165519946,2.9273567949129857,8.584586906199789,66.0,12,1.0
113.80460323604206,2.9107067205104324,8.586181435319393,66.0,12,1.0
113.64344572058148,2.9167363473896937,8.585216953836515,66.0,12,1.0
113.53108108899399,2.899775217248622,8.586738876249031,66.0,12,1.0
113.40613829447967,2.888348530767447,8.58820624714535,66.0,13,1.0
113.28697084153329,2.882129112263367,8.58833251320447,66.0,13,1.0
113.13669599601667,2.8767103431762773,8.587504715278545,66.0,13,1.0
113.02186401341372,2.8698453483315793,8.587598033662864,66.0,13,1.0
112.84942915758927,2.8734998660889497,8.58679113166707,66.0,13,1.0
112.72464186313054,2.877971936625923,8.586030613354618,66.0,14,1.0
112.36100781426987,2.809573911275108,8.582994485376705,66.0,15,1.0
112.26846052803567,2.797514847251543,8.584336843951355,66.0,15,1.0
112.1528036024772,2.8001343812733293,8.584460836910091,66.0,15,1.0
111.8914088518868,2.742463500287499,8.58185129811886,66.0,16,1.0
111.82557334907096,2.663268187436723,8.563132688913834,66.0,17,1.0
111.76219280182725,2.6544936781069985,8.594469259963525,66.0,17,1.0
111.6064816892103,2.6702427226096805,8.593472103555728,66.0,17,1.0
111.56621186423116,2.662866446628218,8.593651827950927,66.0,18,1.0
111.52749644157726,2.660070077003027,8.593798420454204,66.0,18,1.0
111.45455532280607,2.665413506767483,8.593458836869093,66.0,18,1.0
111.74022548698956,2.6069819000567063,8.590605987162649,66.0,19,1.0
112.01557796373184,2.5967724066855,8.598687928383054,66.0,19,1.0
111.94476130457473,2.5926046393093243,8.598071407156908,66.0,20,1.0
